Year,Item ID,Material,Item Category,Item Detail 1,Item Detail 2,Item Size,Size Unit of Measure,Size Note,Comment,Standard Length (mm),Standard Width or Diameter (mm),Standard Height (mm),Standard Interior Diameter (mm),Standard Thinkness / Wall (mm),Item Length Measured (m),Item Width Measured (m),Full Units Counted,Quantity Unit of Measure,Quantity Scapped,Unit price incl VAT,VAT,Source Quantity on hand value excl VAT rounded
2021,ALM00001,Aluminium,Angle iron,,,12.7 x 12.7 x 1.54,mm,,,,12.7,12.7,,1.54,25.19,,,m,,5.51,0.14,121.7516667
2021,ALM00002,Aluminium,Angle iron,,,14.8 x 14.8 x 1.8,mm,,,,14.8,14.8,,1.8,0,,,m,,12.9,0.14,0
2021,ALM00003,Aluminium,Angle iron,,,19.3 x 19.3 x 3.4,mm,,,,19.3,19.3,,3.4,15,,,m,,13.68,0.14,180
2021,ALM00004,Aluminium,Angle iron,,,25 x 25 x 2.2,mm,,,,25,25,,2.2,0.885,,,m,,18.34,0.14,14.23763158
2021,ALM00005,Aluminium,Angle iron,,,25.5 x 25.5 x 3.6,mm,,,,25.5,25.5,,3.6,7.1,,,m,,18.34,0.14,114.222807
2021,ALM00006,Aluminium,Angle iron,,,38 x 38 x 6,mm,,,,38,38,,6,6,,,m,,26.98,0.14,142
2021,ALM00007,Aluminium,Angle iron,,,50.7 x 50.7 x 6.35,mm,,,,50.7,50.7,,6.35,0,,,m,,76.57,0.14,0
2021,ALM00008,Aluminium,Angle iron,,,50.8 x 50.8 x 4.6,mm,,,,50.8,50.8,,4.6,3.645,,,m,,76.57,0.14,244.8225
2021,MST00001,Mild steel,Angle iron,,,20 x 20 x 2,mm,,,,20,20,,2,34.94,,,m,,6.67,0.14,204.4296491
2021,MST00002,Mild steel,Angle iron,,,25 x 25 x 3,mm,,,,25,25,,3,0.53,,,m,,16.52,0.14,7.680350877
2021,MST00003,Mild steel,Angle iron,,,25 x 25 x 5,mm,,,,25,25,,5,24.07,,,m,,25.97,0.14,548.3314912
2021,MST00004,Mild steel,Angle iron,,,30 x 30 x 3,mm,,,,30,30,,3,13.07,,,m,,20.22,0.14,231.8205263
2021,MST00005,Mild steel,Angle iron,,,30 x 30 x 5,mm,,,,30,30,,5,9.8,,,m,,31.92,0.14,274.4
2021,MST00006,Mild steel,Angle iron,,,40 x 40 x 3,mm,,,,40,40,,3,0,,,m,,23.94,0.14,0
2021,MST00007,Mild steel,Angle iron,,,40 x 40 x 5,mm,,,,40,40,,5,0.96,,,m,,43.55,0.14,36.67368421
2021,MST00008,Mild steel,Angle iron,,,40 x 40 x 6,mm,,,,40,40,,6,1.475,,,m,,51.18,0.14,66.21973684
2021,MST00009,Mild steel,Angle iron,,,50 x 50 x 5,mm,,,,50,50,,5,12,,,m,,54.87,0.14,577.5789474
2021,MST00010,Mild steel,Angle iron,,,50 x 50 x 6,mm,,,,50,50,,6,5.545,,,m,,65.05,0.14,316.4054825
2021,MST00011,Mild steel,Angle iron,,,50 x 50 x 8,mm,,,,50,50,,8,6,,,m,,85.22,0.14,448.5263158
2021,MST00012,Mild steel,Angle iron,,,60 x 60 x 6,mm,,,,60,60,,6,15.02,,,m,,78.93,0.14,1039.937368
2021,MST00013,Mild steel,Angle iron,,,60 x 60 x 8,mm,,,,60,60,,8,6,,,m,,103.8,0.14,546.3157895
2021,SST00001,Stainless steel,Angle iron,,,25.2 x 25.2 x 3.1,mm,,,,25.2,25.2,,3.1,11.92,,,m,,62.7,0.14,655.6
2021,SST00002,Stainless steel,Angle iron,,,30 x 30 x 3,mm,,,,30,30,,3,0.925,,,m,,64.98,0.14,52.725
2021,SST00003,Stainless steel,Angle iron,,,40 x 40 x 3,mm,,,,40,40,,3,11.185,,,m,,77.52,0.14,760.58
2021,SST00004,Stainless steel,Angle iron,,,50 x 50 x 5,mm,,,,50,50,,5,2.025,,,m,,167.58,0.14,297.675
2021,SST00005,Stainless steel,Angle iron,,,64 x 64 x 6,mm,,,,64,64,,6,2.185,,,m,,285,0.14,546.25
2021,ALM00009,Aluminium,Bar,Flat,,12.7 x 3.15,mm,,,,12.7,,,3.15,35.13,,,m,,7.83,0.14,241.2876316
2021,ALM00010,Aluminium,Bar,Flat,,25.16 x 6.3,mm,,,,25.16,,,6.3,1.2,,,m,,29.64,0.14,31.2
2021,ALM00011,Aluminium,Bar,Flat,,25.3 x 12.7,mm,,,,25.3,,,12.7,0.995,,,m,,21.85,0.14,19.07083333
2021,ALM00012,Aluminium,Bar,Flat,,25.4 x 3.15,mm,,,,25.4,,,3.15,2.155,,,m,,21.85,0.14,41.30416667
2021,ALM00013,Aluminium,Bar,Flat,,25.4 x 4.6,mm,,,,25.4,,,4.6,12,,,m,,26.26,0.14,276.4210526
2021,ALM00014,Aluminium,Bar,Flat,,31.34 x 4.5,mm,,,,31.34,,,4.5,3.585,,,m,,18.05,0.14,56.7625
2021,ALM00015,Aluminium,Bar,Flat,,38 x 4.9,mm,,,,38,,,4.9,9.64,,,m,,22.97,0.14,194.2375439
2021,ALM00016,Aluminium,Bar,Flat,,38 x 6.15,mm,,,,38,,,6.15,8.845,,,m,,43.51,0.14,337.5841667
2021,BRS00001,Brass,Bar,Flat,,12.7  x 3.2,mm,,,,12.7,,,3.2,12.9,,,m,,31.09,0.14,351.8078947
2021,BRS00002,Brass,Bar,Flat,,12.7 x 6.5,mm,,,,12.7,,,6.5,4.595,,,m,,53.2,0.14,214.4333333
2021,BRS00003,Brass,Bar,Flat,,19.25 x 9.68,mm,,,,19.25,,,9.68,5.165,,,m,,114,0.14,516.5
2021,BRS00004,Brass,Bar,Flat,,20.1 x 3.15,mm,,,,20.1,,,3.15,0.83,,,m,,106.59,0.14,77.605
2021,BRS00005,Brass,Bar,Flat,,25.15 x 3.15,mm,,No Unit Price available,,25.15,,,3.15,5.02,,,m,,,0.14,0
2021,BRS00006,Brass,Bar,Flat,,25.32 x 5.28,mm,,,,25.32,,,5.28,6.4,,,m,,106.59,0.14,598.4
2021,BRS00007,Brass,Bar,Flat,,38.17 x 9.65,mm,,No Unit Price available,,38.17,,,9.65,3.27,,,m,,,0.14,0
2021,BRS00008,Brass,Bar,Flat,,38.26 x 15.89,mm,,No Unit Price available,,38.26,,,15.89,2.17,,,m,,,0.14,0
2021,BRS00009,Brass,Bar,Flat,,38.46 x 4.8,mm,,No Unit Price available,,38.46,,,4.8,1.685,,,m,,,0.14,0
2021,BRS00010,Brass,Bar,Flat,,38.52 x 3.25,mm,,No Unit Price available,,38.52,,,3.25,1.9,,,m,,,0.14,0
2021,BRS00011,Brass,Bar,Flat,,51.03 x 3.3,mm,,,,51.03,,,3.3,5.2,,,m,,77.75,0.14,354.6491228
2021,BRS00012,Brass,Bar,Flat,,75.38 x 15.55,mm,,No Unit Price available,,75.38,,,15.55,2.565,,,m,,,0.14,0
2021,BRS00013,Brass,Bar,Flat,,76.5 x 6.25,mm,,No Unit Price available,,76.5,,,6.25,2.455,,,m,,,0.14,0
2021,BRS00014,Brass,Bar,Flat,,76.5 x 6.7,mm,,No Unit Price available,,76.5,,,6.7,3.75,,,m,,,0.14,0
2021,BRS00015,Brass,Bar,Flat,,76.59 x 9.64,mm,,No Unit Price available,,76.59,,,9.64,1.725,,,m,,,0.14,0
2021,CPR00001,Copper,Bar,Flat,,15.2 x 3.2,mm,,,,15.2,,,3.2,2.99,,,m,,28.4,0.14,74.4877193
2021,MST00014,Mild steel,Bar,Flat,,12 x 3,mm,,,,12,,,3,0,,,m,,4.01,0.14,0
2021,MST00015,Mild steel,Bar,Flat,,12.7 x 3.17,mm,,,,12.7,,,3.17,11.93,,,m,,4.01,0.14,41.96429825
2021,MST00016,Mild steel,Bar,Flat,,20 x 3,mm,,,,20,,,3,2.68,,,m,,7.2,0.14,16.92631579
2021,MST00017,Mild steel,Bar,Flat,,20 x 5,mm,,,,20,,,5,6,,,m,,11.3,0.14,59.47368421
2021,MST00018,Mild steel,Bar,Flat,,25 x 5,mm,,,,25,,,5,18,,,m,,14.12,0.14,222.9473684
2021,MST00019,Mild steel,Bar,Flat,,25 x 6,mm,,,,25,,,6,10.095,,,m,,16.91,0.14,149.7425
2021,MST00020,Mild steel,Bar,Flat,,25 x 8,mm,,,,25,,,8,40.825,,,m,,24.52,0.14,878.095614
2021,MST00021,Mild steel,Bar,Flat,,30 x 3,mm,,,,30,,,3,3.815,,,m,,10.81,0.14,36.17557018
2021,MST00022,Mild steel,Bar,Flat,,30 x 5,mm,,,,30,,,5,1.73,,,m,,16.95,0.14,25.72236842
2021,MST00023,Mild steel,Bar,Flat,,30 x 6,mm,,,,30,,,6,23.1,,,m,,20.25,0.14,410.3289474
2021,MST00024,Mild steel,Bar,Flat,,30 x 8,mm,,,,30,,,8,6,,,m,,26.98,0.14,142
2021,MST00025,Mild steel,Bar,Flat,,40 x 5,mm,,,,40,,,5,0,,,m,,22.49,0.14,0
2021,MST00026,Mild steel,Bar,Flat,,40 x 6,mm,,,,40,,,6,0,,,m,,26.9,0.14,0
2021,MST00027,Mild steel,Bar,Flat,,40 x 8,mm,,,,40,,,8,28.32,,,m,,35.81,0.14,889.5957895
2021,MST00028,Mild steel,Bar,Flat,,40 x 10,mm,,,,40,,,10,1.91,,,m,,37.7,0.14,63.16403509
2021,MST00029,Mild steel,Bar,Flat,,50 x 6,mm,,,,50,,,6,5.53,,,m,,33.62,0.14,163.0864912
2021,MST00030,Mild steel,Bar,Flat,,50 x 8,mm,,,,50,,,8,11.34,,,m,,44.76,0.14,445.2442105
2021,MST00031,Mild steel,Bar,Flat,,50 x 10,mm,,,,50,,,10,24.125,,,m,,55.8,0.14,1180.855263
2021,MST00032,Mild steel,Bar,Flat,,60 x 6,mm,,,,60,,,6,1.04,,,m,,53.6,0.14,48.89824561
2021,MST00033,Mild steel,Bar,Flat,,60 x 8,mm,,,,60,,,8,6.1,,,m,,53.6,0.14,286.8070175
2021,MST00034,Mild steel,Bar,Flat,,60 x 16,mm,,,,60,,,16,1.195,,,m,,53.6,0.14,56.18596491
2021,MST00035,Mild steel,Bar,Flat,,80 x 6,mm,,,,80,,,6,2.185,,,m,,53.61,0.14,102.7525
2021,MST00036,Mild steel,Bar,Flat,,90 x 12,mm,,,,90,,,12,6.005,,,m,,129.72,0.14,683.3057895
2021,MST00037,Mild steel,Bar,Flat,,100 x 6,mm,,,,100,,,6,6.43,,,m,,69.11,0.14,389.8046491
2021,MST00038,Mild steel,Bar,Flat,,100 x 8,mm,,,,100,,,8,6,,,m,,86.66,0.14,456.1052632
2021,MST00039,Mild steel,Bar,Flat,,100 x 10,mm,,,,100,,,10,6.95,,,m,,108.21,0.14,659.7013158
2021,SST00006,Stainless steel,Bar,Flat,,13 x 6,mm,,No Unit Price available,,13,,,6,0.745,,,m,,,0.14,0
2021,SST00007,Stainless steel,Bar,Flat,,25 x 3,mm,,,,25,,,3,12.93,,,m,,10.615,0.14,120.3964474
2021,SST00008,Stainless steel,Bar,Flat,,25 x 6,mm,,,,25,,,6,8.97,,,m,,55.63,0.14,437.7202632
2021,SST00009,Stainless steel,Bar,Flat,,50 x 5,mm,,,,50,,,5,4.4,,,m,,110.8,0.14,427.6491228
2021,SST00010,Stainless steel,Bar,Flat,,65 x 6,mm,,,,65,,,6,1.325,,,m,,202.92,0.14,235.85
2021,ALM00017,Aluminium,Bar,Hexagon,,13,mm,,,,13,,,,0.72,,,m,,29.64,0.14,18.72
2021,BRS00016,Brass,Bar,Hexagon,,6.35,mm,,,,6.35,,,,18.095,,,m,,25,0.14,396.8201754
2021,BRS00017,Brass,Bar,Hexagon,,8,mm,,,,8,,,,3.98,,,m,,25.65,0.14,89.55
2021,BRS00018,Brass,Bar,Hexagon,,9.55,mm,,,,9.55,,,,1.4,,,m,,37.81,0.14,46.43333333
2021,BRS00019,Brass,Bar,Hexagon,,10,mm,,,,10,,,,0.91,,,m,,37.81,0.14,30.18166667
2021,BRS00020,Brass,Bar,Hexagon,,10.9,mm,,,,10.9,,,,0,,,m,,45.6,0.14,0
2021,BRS00021,Brass,Bar,Hexagon,,12,mm,,,,12,,,,8.075,,,m,,53.2,0.14,376.8333333
2021,BRS00022,Brass,Bar,Hexagon,,20,mm,,,,20,,,,0.85,,,m,,236.38,0.14,176.2482456
2021,BRS00023,Brass,Bar,Hexagon,,23.88,mm,,,,23.88,,,,0.72,,,m,,160.74,0.14,101.52
2021,MST00040,Mild steel,Bar,Hexagon,,11,mm,,,,11,,,,7.28,,,m,,53.18,0.14,339.605614
2021,MST00041,Mild steel,Bar,Hexagon,,19,mm,,,,19,,,,1.62,,,m,,40.24,0.14,57.18315789
2021,MST00042,Mild steel,Bar,Hexagon,,22,mm,,,,22,,,,2.02,,,m,,93.72,0.14,166.0652632
2021,MST00043,Mild steel,Bar,Hexagon,,27,mm,,,,27,,,,2.745,,,m,,141.29,0.14,340.2114474
2021,SST00011,Stainless steel,Bar,Hexagon,,10,mm,,,,10,,,,2.37,,,m,,43.22,0.14,89.85210526
2021,MST00044,Mild steel,Bar,Hollow,,32 x 16 x 8,mm,,,,32,16,,8,2.32,,,m,,99.18,0.14,201.84
2021,MST00045,Mild steel,Bar,Round,Bright,4,mm,,,,4,,,,29.47,,,m,,2.85,0.14,73.675
2021,MST00046,Mild steel,Bar,Round,Bright,4.75,mm,,,,4.75,,,,2.125,,,m,,2.85,0.14,5.3125
2021,MST00047,Mild steel,Bar,Round,Bright,5,mm,,,,5,,,,12.115,,,m,,3.51,0.14,37.30144737
2021,MST00048,Mild steel,Bar,Round,Bright,6,mm,,,,6,,,,0,,,m,,4.67,0.14,0
2021,MST00049,Mild steel,Bar,Round,Bright,8,mm,,,,8,,,,17.645,,,m,,7.71,0.14,119.3359211
2021,MST00050,Mild steel,Bar,Round,Bright,10,mm,,,,10,,,,18.335,,,m,,11.68,0.14,187.8533333
2021,MST00051,Mild steel,Bar,Round,Bright,12,mm,,,,12,,,,34.055,,,m,,16.95,0.14,506.3440789
2021,MST00052,Mild steel,Bar,Round,Bright,16,mm,,,,16,,,,20.14,,,m,,26.54,0.14,468.8733333
2021,MST00053,Mild steel,Bar,Round,Bright,20,mm,,,,20,,,,0,,,m,,31.19,0.14,0
2021,MST00054,Mild steel,Bar,Round,Bright,22,mm,,,,22,,,,15.985,,,m,,53.03,0.14,743.5829386
2021,MST00055,Mild steel,Bar,Round,Bright,24,mm,,,,24,,,,5.75,,,m,,68,0.14,342.9824561
2021,MST00056,Mild steel,Bar,Round,Bright,25,mm,,,,25,,,,4.37,,,m,,68,0.14,260.6666667
2021,MST00057,Mild steel,Bar,Round,Bright,28,mm,,,,28,,,,5.545,,,m,,97.88,0.14,476.0917544
2021,MST00058,Mild steel,Bar,Round,Bright,30,mm,,,,30,,,,3.46,,,m,,97.88,0.14,297.074386
2021,MST00059,Mild steel,Bar,Round,Bright,40,mm,,,,40,,,,2.965,,,m,,184.61,0.14,480.1479386
2021,ALM00018,Aluminium,Bar,Round,,4.7,mm,,,,4.7,,,,,,,m,,2.28,0.14,0
2021,ALM00019,Aluminium,Bar,Round,,6,mm,,,,6,,,,63.205,,,m,,7.52,0.14,416.9312281
2021,ALM00020,Aluminium,Bar,Round,,8,mm,,,,8,,,,24.66,,,m,,9.12,0.14,29.65
2021,ALM00021,Aluminium,Bar,Round,,9.5,mm,,,,9.5,,,,4.1,,,m,,9.38,0.14,33.73508772
2021,ALM00022,Aluminium,Bar,Round,,10,mm,,,,10,,,,57.81,,,m,,14.25,0.14,722.625
2021,ALM00023,Aluminium,Bar,Round,,12,mm,,,,12,,,,19.48,,,m,,21.66,0.14,370.12
2021,ALM00024,Aluminium,Bar,Round,,12.7,mm,,,,12.7,,,,1.845,,,m,,21.66,0.14,35.055
2021,ALM00025,Aluminium,Bar,Round,,16,mm,,,,16,,,,14.35,,,m,,35.91,0.14,452.025
2021,ALM00026,Aluminium,Bar,Round,,20,mm,,,,20,,,,2.52,,,m,,57,0.14,126
2021,ALM00027,Aluminium,Bar,Round,,25,mm,,,,25,,,,1.88,,,m,,86.64,0.14,142.88
2021,ALM00028,Aluminium,Bar,Round,,30,mm,,,,30,,,,0,,,m,,132.81,0.14,0
2021,ALM00029,Aluminium,Bar,Round,,32,mm,,,,32,,,,11.6,,,m,,144.1,0.14,1466.280702
2021,ALM00030,Aluminium,Bar,Round,,40,mm,,,,40,,,,1.53,,,m,,753.25,0.14,1010.940789
2021,ALM00031,Aluminium,Bar,Round,,45,mm,,,,45,,,,1.715,,,m,,291.84,0.14,439.04
2021,ALM00032,Aluminium,Bar,Round,,51,mm,,,,51,,,,5.65,,,m,,347.7,0.14,1723.25
2021,ALM00033,Aluminium,Bar,Round,,65,mm,,,,65,,,,0.75,,,m,,753.25,0.14,495.5592105
2021,BRS00024,Brass,Bar,Round,,5,mm,,,,5,,,,7.18,,,m,,14.82,0.14,93.34
2021,BRS00025,Brass,Bar,Round,,6,mm,,,,6,,,,0.86,,,m,,19.16,0.14,14.45403509
2021,BRS00026,Brass,Bar,Round,,8,mm,,,,8,,,,19.165,,,m,,45.03,0.14,757.0175
2021,BRS00027,Brass,Bar,Round,,10,mm,,,,10,,,,16.605,,,m,,53.15,0.14,774.1717105
2021,BRS00028,Brass,Bar,Round,,12,mm,,,,12,,,,19.29,,,m,,76.17,0.14,1288.876579
2021,BRS00029,Brass,Bar,Round,,14,mm,,,,14,,,,10.275,,,m,,104.09,0.14,938.1796053
2021,BRS00030,Brass,Bar,Round,,16,mm,,,,16,,,,13.765,,,m,,170.62,0.14,2060.161667
2021,BRS00031,Brass,Bar,Round,,20,mm,,,,20,,,,5.355,,,m,,199.5,0.14,937.125
2021,BRS00032,Brass,Bar,Round,,22,mm,,,,22,,,,7.865,,,m,,275.31,0.14,1899.3975
2021,BRS00033,Brass,Bar,Round,,25,mm,,,,25,,,,10.975,,,m,,311.22,0.14,2996.175
2021,BRS00034,Brass,Bar,Round,,30,mm,,,,30,,,,1.035,,,m,,558.22,0.14,506.805
2021,BRS00035,Brass,Bar,Round,,32,mm,,,,32,,,,2.815,,,m,,642.68,0.14,1586.968596
2021,BRS00036,Brass,Bar,Round,,38,mm,,,,38,,,,1.47,,,m,,743.28,0.14,958.44
2021,BRS00037,Brass,Bar,Round,,40,mm,,,,40,,,,2.045,,,m,,992.18,0.14,1779.831667
2021,BRS00038,Brass,Bar,Round,,45,mm,,,,45,,,,2.685,,,m,,1200,0.14,2826.315789
2021,BRS00039,Brass,Bar,Round,,50,mm,,,,50,,,,1.965,,,m,,1581.56,0.14,2726.11
2021,MST00060,Mild steel,Bar,Round,,6,mm,,,,6,,,,8.435,,,m,,3.68,0.14,27.22877193
2021,MST00061,Mild steel,Bar,Round,,8,mm,,,,8,,,,0,,,m,,7.71,0.14,0
2021,MST00062,Mild steel,Bar,Round,,10,mm,,,,10,,,,36.18,,,m,,11.68,0.14,370.6863158
2021,MST00063,Mild steel,Bar,Round,,12,mm,,,,12,,,,2.395,,,m,,16.95,0.14,35.60986842
2021,MST00064,Mild steel,Bar,Round,,20,mm,,,,20,,,,6,,,m,,30.06,0.14,158.2105263
2021,PTL00001,Polyethylene,Bar,Round,,20,mm,,,,20,,,,2.28,,,m,,53.12,0.14,106.24
2021,PTL00002,Polyethylene,Bar,Round,,25,mm,,,,25,,,,1.165,,,m,,82.21,0.14,84.01285088
2021,NYL00001,Nylatron,Bar,Round,,50,mm,,,,50,,,,0.975,,,m,,430.75,0.14,368.4046053
2021,PPL00001,Polypropylene,Bar,Round,,10,mm,,,,10,,,,4,,,m,,13.96,0.14,48.98245614
2021,PPL00002,Polypropylene,Bar,Round,,15,mm,,,,15,,,,1.2,,,m,,35.11,0.14,36.95789474
2021,PPL00003,Polypropylene,Bar,Round,,25,mm,,,,25,,,,0.72,,,m,,67.68,0.14,42.74526316
2021,PPL00004,Polypropylene,Bar,Round,,30,mm,,,,30,,,,0.585,,,m,,113.65,0.14,58.32039474
2021,PPL00005,Polypropylene,Bar,Round,,35,mm,,,,35,,,,0.215,,,m,,146.06,0.14,27.54640351
2021,PPL00006,Polypropylene,Bar,Round,,40,mm,,,,40,,,,0.21,,,m,,172.01,0.14,31.68605263
2021,PPL00007,Polypropylene,Bar,Round,,50,mm,,,,50,,,,0.15,,,m,,316.04,0.14,41.58421053
2021,PPL00008,Polypropylene,Bar,Round,,60,mm,,,,60,,,,0,,,m,,407.03,0.14,0
2021,PPL00009,Polypropylene,Bar,Round,,90,mm,,,,90,,,,0,,,m,,1154,0.14,0
2021,SST00012,Stainless steel,Bar,Round,,2.5,mm,,Only round bar with specified standard length,4200,2.5,,,,123.81,,,m,,1.88,0.14,204.1778947
2021,SST00013,Stainless steel,Bar,Round,,3,mm,,,,3,,,,90.905,,,m,,9.63,0.14,767.9080263
2021,SST00014,Stainless steel,Bar,Round,,3.5,mm,,,,3.5,,,,0,,,m,,2.8,0.14,0
2021,SST00015,Stainless steel,Bar,Round,,4,mm,,,,4,,,,27.72,,,m,,5.13,0.14,124.74
2021,SST00016,Stainless steel,Bar,Round,,5,mm,,,,5,,,,31.645,,,m,,6.84,0.14,189.87
2021,SST00017,Stainless steel,Bar,Round,,6,mm,,,,6,,,,4.475,,,m,,12.49,0.14,49.02872807
2021,SST00018,Stainless steel,Bar,Round,,8,mm,,,,8,,,,14.95,,,m,,18.24,0.14,239.2
2021,SST00019,Stainless steel,Bar,Round,,10,mm,,,,10,,,,15.17,,,m,,30.78,0.14,409.59
2021,SST00020,Stainless steel,Bar,Round,,12,mm,,,,12,,,,8.45,,,m,,43.32,0.14,321.1
2021,SST00021,Stainless steel,Bar,Round,,12.7,mm,,,,12.7,,,,0,,,m,,43.32,0.14,0
2021,SST00022,Stainless steel,Bar,Round,,16,mm,,,,16,,,,13.24,,,m,,75.24,0.14,873.84
