Project_ID,Request_Date,Customer_ID,Project_Category,Project_Description,Status,Labour_Costs,Material_Costs,Handling_Fee,Service_Billing_Number
P180001,2020/01/19,C00001-5-1,Equipment,Vervaardig en installeer 3 x lugpype vir Open Top Chambers,,12530,5360,1340,5127095
P180002,2020/01/22,C00002-5-1,Glass blowing,Herstel verskeie glasware,,525,56,14,4634621
P180003,2020/01/22,C00002-5-2,Equipment,Vervaardig 10 x pipetballe-passtukke,,778,17.6,4.4,4661626
P180004,2020/01/22,C00001-5-2,Equipment,Manufacture 2 x Aluminium Filter Cartridges,,3605,368,92,4601245
P180005,2020/01/23,C00003-1-1,Glass blowing,Vervaardig 1 x rondebol-fles met aansluitings,,525,464,116,4604041
P180006,2020/01/25,C00001-5-3,Repairs,Replace perspex tubing on filter housing,,7125,1452,363,4615275
P180007,2020/01/29,C00001-11-1,Repairs,Diens van KBM vakuumpomp,,900,992,248,4759983
P180008,2020/01/29,C00001-9-1,Equipment,Vervaardig 4 x Vlekvryestaal boekstaanders,,150,177.6,44.4,4720455
P180009,2020/01/29,C00002-6-1,Equipment,Vervaardig 3 stelle deurlaatbaarheidsblokkies + veranderinge aan bestaande blokkies,,7800,2543,0,4631828
P180010,2020/01/30,C00001-5-2,Equipment,Manufacture 1 x Re-Suspension Chamber,,4237.35,2210.12,552.53,4633867
P180011,2020/01/30,C00001-5-4,Equipment,Boor + tap van fitting + sweis van fitting,,225,0,0,4633958
P180012,2020/01/30,C00004-1-1,Repairs,Sweis van Bin Dolly,,225,260,65,4634949
P180013,2020/01/30,C00003-3-1,Glass blowing,Verander 1 x Rondebol-fles,,225,32,8,4635451
P180014,2020/01/30,C00002-11-1,Repairs,Herstel van 2 x stretchers,,792,52.8,13.2,4636261
P180015,2020/01/30,C00002-21-1,Engraving,Gravering van naambord vir deur,,225,68,17,4638472
P180016,2020/01/31,C00002-15-1,Equipment,Vervaardig 2 x Aluminium Droogblokkies,,885,316,79,4723666
P180017,2020/01/18,C00003-3-2,Equipment,Vervaardig 3 x Wonder Stone Siffies,,357.5,2.5,0,4639642
P180018,2020/01/15,C00005-1-1,Repairs,Kleiner sny van PVC Blokkies,,100,0,0,4644296
P180019,2020/02/01,C00002-15-1,Equipment,Vervaardig en installeer van Gas Verdeling Manifold (8 Verdelings)/skoonmaak & behandeling van VVS komponente,,7052,3198.4,799.6,4852795
P180020,2019/11/15,C00001-5-5,Equipment,Vervaardig droogkas vir Mafikeng,,5180,4656,1164,4652183
P180021,2019/11/14,C00001-11-2,Equipment,Vervaardig GDE Spray Plate,,1500,162.4,40.6,4633196
P180022,2020/01/22,C00003-4-1,Equipment,Aankoop van materiale + sweiswerk,,600,853.6,213.4,4663426
P180023,2020/01/18,C00002-15-2,Equipment,Vervaardig 4 x PVC jashangers,,1700,516,0,4665753
P180024,2020/02/06,C00002-4-1,Equipment,Vervaardig : Verskeie visbakke/1 x trollie vir vervoer van visbakke/opstelling van gordyne,,,,,4666642
P180025,2020/01/19,C00002-21-2,Repairs,Nagaan en diens van Pfeiffer-vakuumpomp,,1050,0,0,4675254
P180026,2020/02/08,C00002-17-1,Repairs,Diens van vakuumpomp,,600,0,0,4802525
P180027,2020/02/08,C00002-8-1,Repairs,Verander disintegrasie-instrument-arm se skroefdraad/diens van PA Lab vakuumpomp,,225,0,0,4675701
P180028,2020/02/08,C00001-11-3,Equipment,Vervaardig 1 x tafel vir mikro-skaal,,2775,848.8,212.2,4714570
P180029,2020/02/08,C00005-1-1,Equipment,Vervaardig 10 x PVC-blokke (150 x 90 x 30 mm),,825,520.48,130.12,4699590
P180030,2020/02/09,C00001-5-6,Repairs,Diens/herstel van 3 x waterbaddens,,7650,1977.6,494.4,4920379
P180031,2020/02/09,C00001-11-1,Equipment,Vervaardig 1 x Aluminium pypkoppeling vir vakuumpomp,,500,3.2,0.8,4683990
P180032,2020/02/12,C00001-5-7,Repairs,Herstel van skepnet,,225,0,0,4736431
P180033,2020/02/12,C00001-11-4,Repairs,Aanpassing op passive samplers,,4500,260,65,4857984
P180034,2020/02/13,C00006-1-1,Repairs,Aanbring van nuwe borsel op slypwiel,,150,0,0,4735012
P180035,2020/02/13,C00002-13-1,Equipment,Vervaardig 10 x Kapsule-wieletjies,,2123,61.6,15.4,4697548
P180036,2020/02/13,C00001-5-8,Equipment,Vervaardig 20 x Hawksley Slides,,8090,392,98,5055763
P180037,2020/02/14,C00002-5-3,Equipment,Manufacture 1 x Perspex Balance Cover,,3442,1322.4,330.6,4904823
P180038,2020/02/15,C00001-5-9,Microscopes and Balances,Herstel 1 x balans,,750,96,24,4712171
P180039,2020/02/19,C00001-11-1,Repairs,Diens/herstel van 1 x reaktor,,5025,0,0,4885949
P180040,2020/02/19,C00001-5-2,Equipment,Vervaardig Aluminium verlengstukke vir pypinlate/Manufacture Aluminium Sampler Inlet Extensions,,4050,1296,324,4832797
P180041,2020/02/19,C00001-13-1,Repairs,Herstel van : Pendulum/Bottle Connector/Hammer Steel + Identifying of problem on Hydrogen Exhibit,,1908,57.6,14.4,4773136
P180042,2020/02/19,C00001-9-1,Repairs,Diens/herstel van 'n Varian DS 302-vakuumpomp,,300,1392.8,348.2,4847369
P180043,2019/12/11,C00001-1-1,Repairs,Reinstallation of Telescope + supply of telescope cover,,13497,5478.4,1369.6,4711760
P180044,2020/02/05,C00002-3-1,Repairs,Soldeer draadjies van kabel,,150,0,0,4716616
P180045,2020/02/21,C00002-11-1,Equipment,Vervaardig 2 x Aluminium Sensor Monteerstukke (brackets),,2847.5,115.6,28.9,4763844
P180046,2020/02/20,C00002-3-2,Repairs,Installasie van nuwe sirkulasie-eenheid/verandering aan waterbad,,2850,68,17,4721330
P180047,2020/02/21,C00001-5-9,Repairs,Herstel van waterbad se element,Not repearable,,,,4727795
P180048,2020/02/21,C00001-5-6,Equipment,Knip en afwerk van 10 x 3 mm Perspexplate,,225,112,28,4727596
P180049,2020/02/21,C00001-5-10,Repairs,Herstel van momentumtrollie,,525,0,0,4871610
P180050,2020/02/21,C00001-5-4,Equipment,Vervaardig 1 x Sampler Inlet Manifold (soos per skets),,4367,576,144,4734991
P180051,2020/02/22,C00007-1-1,Repairs,Herstel van leer,,1500,40,10,4833661
P180052,2020/02/22,C00001-3-1,Repairs,Herstel van slot,,75,0,0,4869736
P180053,2020/02/22,C00003-6-1,Repairs,Herstel van waterpyp,,450,6.4,1.6,4735948
P180054,2020/02/23,C00003-3-1,Glass blowing,Vervaardig 1 x 3-nek Rondebolfles,,450,112,28,4816989
P180055,2020/02/23,C00001-11-5,Equipment,Vervaardig 1 x Ligpassing (fitting),,2250,28,7,4838594
P180056,2020/02/26,C00001-11-1,Repairs,Herstel Heraewa-oond (element of termostaat),,2542,1628,0,4953512
P180057,2020/02/19,C00002-4-2,Repairs,Herstel van leverpresse,,15750,208,52,5173949
P180058,2020/02/26,C00001-3-2,Engraving,4 x Klein Skilde,,870,90,0,4758094
P180059,2020/03/01,C00002-17-2,Engraving,Gravering : 5 x plaatjies vir kassies en horlosies,,540,40,0,4819899
P180060,2020/03/01,C00007-1-1,Equipment,Vervaardig 10 x Oorhoofse Projektor brackets,,7468,4834.4,1208.6,4752399
P180061,2020/03/01,C00001-11-1,Repairs,Diens/herstel van vakuumpomp vir handskoenkas,,1500,7353.6,1838.4,4759645
P180062,2020/03/01,C00001-11-6,Repairs,Repair of electrodes,,225,0,0,4760164
P180063,2020/02/22,C00001-2-1,Equipment,Vervaardig 3 x liniale,,240,60,0,4830574
P180064,2020/03/02,C00002-20-1,Engraving,Gravering van 9 x trofees + herstel van lampie,,770,50,0,4795518
P180065,2020/02/28,C00002-15-3,Repairs,Herstel van stikstofgenereerder/Modifiseer dialiseblok,,1650,56,14,4832721
P180066,2020/03/05,C00008-2-1,Repairs,Herstel van shredder (sny papier net aan die eenkant)/skerpmaak van binderlem,,1425,0,0,4934397
P180067,2020/03/06,C00003-3-3,Equipment,Vervaardig 1 x vakuumapparaat,,750,428,107,4845309
P180068,2020/03/06,C00002-13-2,Repairs,Skoonmaak/diens van vergrootglas,,225,0,0,483098
P180069,2020/03/05,C00002-18-1,Engraving,4 x Name (Stickers : Econo Signs) vir ererolborde + opsit van name op borde,,450,40,0,4890320
P180070,2020/02/28,C00001-9-1,Repairs,Diens van 'n Edwards 18-vakuumpomp,,4800,112,28,4847389
P180071,2020/03/07,C00002-15-3,Microscopes and Balances,Diens van mikroskoop,,1950,0,0,4849702
P180072,2020/03/08,C00002-13-3,Repairs,Herstel deur van mikrobalans-kas,,150,0,0,4830970
P180073,2020/03/08,C00003-2-1,Glass blowing,Vervaardig 2 x glasapparate,,1050,252,63,4860660
P180074,2020/03/08,C00001-11-7,Repairs,Diens van 1 x UPS,,225,756,189,4916181
P180075,2020/03/09,C00002-5-3,Repairs,Herstel van rotavapor (suig nie hard genoeg nie),Cancelled,,,,
P180076,2020/03/12,C00001-11-8,Repairs,Diens / herstel van 23 x branders,,1610,0,0,4861885
P180077,2020/03/12,C00001-11-8,Repairs,Diens / herstel van 5 x balanse,,2100,0,0,480139
P180078,2020/03/12,C00002-15-2,Equipment,Vervaardig 1 x skeplepel,,525,20,5,4836747
P180079,2020/03/12,C00001-5-4,Equipment,Manufacture Dilution Tunnel System,,5567,619,0,4800973
P180080,2020/03/13,C00009-1-1,Engraving,Gravering van 1 x trofee + maak van 1 x klein skildjie/herstel van trofee,,480,0,0,4889114
P180081,2020/03/13,C00010-1-1,Repairs,Herstel handgreep van spies,,75,0,0,4848003
P180082,2020/03/13,C00002-5-4,Repairs,Skoonmaak van kapsule-vuller-apparaat,,4050,0,0,4870296
P180083,2020/03/14,C00002-22-1,Repairs,Herstel van narkose-apparaat,,,,,
P180084,2020/03/14,C00003-2-2,Glass blowing,Vervaardig 1 x glasapparaat,,675,0,0,4913041
P180085,2020/03/14,C00001-4-1,Repairs,Herstel van sentrifuge,,525,0,0,4873962
P180086,2020/02/13,C00001-11-9,Glass blowing,Glasblaaswerk vir Honneurspraktika,,1800,752.8,188.2,4816020
P180087,2020/03/15,C00003-3-4,Microscopes and Balances,Diens en kalibreer van balanse,,4200,0,0,4953159
P180088,2019/12/20,C00001-11-1,Glass blowing,Herstel van verskeie glasware,,12600,0,0,4818087
P180089,2020/03/16,C00001-11-1,Repairs,Herstel van Heraeus Oond,Cancelled - duplicate,,,,
P180090,2020/03/16,C00001-11-1,Repairs,Diens/Herstel van Edwards E2M2 vakuumpomp : S/N 04024,,300,36,9,4900330
P180091,2020/03/16,C00001-5-8,Equipment,Vervaardig 20 van 20 ml Telbakkies,,8602,510.4,127.6,5055990
P180092,2020/03/19,C00001-5-4,Equipment,Vervaardig 2 x Dakbakkies/2 x Hoek-inlate/1 x Kabel reënskerm,,5038,259,0,4825902
P180093,2020/03/19,C00003-5-1,Engraving,Gravering van 2 x Leatherman Messe,,350,0,0,4845596
P180094,2020/03/22,C00002-16-1,Equipment,Vervaardig 12 x gewiggies (soos voorbeeld)/Manufacture 12 x weights,,1040,154.4,38.6,4845059
P180095,2020/03/23,C00002-20-1,Repairs,Herstel van 1 x Lampie,,100,0,0,4893022
P180096,2020/03/23,C00002-20-1,Repairs,Herstel van 2 x oorspuite - Simlab,,200,0,0,4893022
P180097,2019/11/29,C00001-11-5,Equipment,Vervaardig 1 x fotochemiese reaktor,,7650,1945.6,486.4,4838608
P180098,2020/01/12,C00001-11-5,Repairs,Uitmekaar haal van onderdele,,375,0,0,4838624
P180099,2020/12/11,C00001-11-5,Repairs,Herstel van kompressor,,375,0,0,4838633
P180100,2020/02/06,C00001-10-1,Repairs,Herstel van sandbad,,150,174.4,43.6,4843183
P180101,2020/03/27,C00001-11-10,Equipment,Vervaardig 1 x Hose Tail vir Auto Sampler,,500,1.6,0.4,4886033
P180102,2020/03/27,C00002-15-3,Equipment,Aankoop van onderdele as voorraad vir kompressors,,0,24193.08,0,4889757
P180103,2020/03/28,C00010-1-1,Repairs,Verbeter en installeer van gewigstootblok,,1350,48.8,12.2,4866337
P180104,2020/03/28,C00003-3-4,Glass blowing,Vervaardig 1 x Cold Trap  +  Vervaardig 4 x Cold Traps vir Vakuum,,2922,1865,0,4852963
P180105,2020/01/08,C00003-4-1,Equipment,Aankoop van materiale,,150,360.8,90.2,4588938
P180106,2019/11/14,C00002-21-3,Repairs,Diens van Atlas Copco Kompressor,,1050,1944,486,4592565
P180107,2019/09/01,C00002-21-4,Repairs,Herstel van Thermo Shaker,,450,72,18,4596530
P180108,2020/03/14,C00002-4-3,Equipment,Aanbring van slotte op 2 x koelerhouers,,150,220,55,4896430
P180109,2020/04/03,C00001-11-7,Repairs,"Herstel van lig (wil nie ""charge"" nie)",Not repearable,,,,
P180110,2020/03/27,C00001-13-1,Repairs,Herstel van deur,,1050,28,7,5059381
P180111,2020/01/17,C00003-3-5,Microscopes and Balances,Herstel 3 x balanse/kalibreer balanse,,3300,979,0,4832018
P180112,2020/02/06,C00002-13-4,Repairs,0,,375,0,0,4906220
P180113,2019/11/30,C00002-11-2,Equipment,Monteer Force & Motion Plate/DGA Installasie/TV Bracket,Recovered in 2017,,,,
P180114,2020/04/04,C00002-5-3,Equipment,Vasdraai van krane - plastiekhouers,,90,0,0,4904803
P180115,2020/04/05,C00002-13-5,Equipment,Kompleet Ontwerp en Vervaardiging van 1 x Meganiese Stelsel vir HANKS Sample Processing System,,,,,
P180116,2020/04/05,C00002-13-5,Equipment,Vervaardig sleeves vir verhittingsblok,Moved to External,,,,
P180117,2020/04/05,C00002-15-3,Repairs,Herstel van 1 x Kompressor,,900,0,0,4889757
P180118,2020/04/05,C00001-11-7,Repairs,Diens van vakuumpomp,,525,0,0,4916181
P180119,2020/04/09,C00001-5-6,Microscopes and Balances,Kalibreer van 4 x skale,,2400,0,0,4975194
P180120,2020/04/09,C00001-11-11,Equipment,Vervaardig 1  Electrode holder + 1 x PTFE Glassy Carbon Holder,,1186,40,10,4922164
P180121,2020/04/09,C00002-5-3,Glass blowing,Vervanging van slypstuk van glasapparaat,,225,52,13,4904803
P180122,2020/03/27,C00003-4-2,Repairs,Herstel van binder - druk nie gaatjies nie ens.,,525,2.4,0.6,4988612
P180123,2020/09/10,C00002-13-6,Repairs,"Vervang ""power switch"" van sentrifuge",,450,28,7,4908666
P180124,2020/09/11,C00001-11-12,Repairs,Verander 2 x vakuumpyp-koppelinge,,300,0,0,4952644
P180125,2020/04/12,C00001-1-1,Equipment,Diens van teleskoop,,88485,48565,0,5056839
P180126,2020/04/16,C00003-6-2,Repairs,Soldeer van staaf,,75,0,0,4906489
P180127,2020/04/16,C00001-5-11,Repairs,Herstel van Seinhorst-apparaat,,800,0,0,4893972
P180128,2020/04/09,C00002-15-4,Equipment,Verander skeplepel,,450,0,0,4908082
P180129,2020/04/17,C00001-11-13,Equipment,Vervaardig 1 x Instrument-tafel met Vlekvryestaal blad,,2964,1620.8,405.2,5039486
P180130,2020/04/17,C00011-1-1,Engraving,Gravering van 5 x Plaatjies vir Groot trofee/Maak + graveer van 14 x Pukki Talentfeestrofees,,7220,800,0,4942161
P180131,2020/04/18,C00001-5-8,Repairs,Herstel van 2 x blenders + 2 x nematode-siwwe,,1350,2736,684,5059901
P180132,2020/04/17,C00004-1-1,Repairs,Herstel van waaier se grids,,700,12,3,4886357
P180133,2020/04/19,C00001-9-1,Equipment,Pons van septums,,225,0,0,4935715
P180134,2020/04/19,C00002-13-7,Microscopes and Balances,Diens van mikroskoop,,600,0,0,4980750
P180135,2020/04/19,C00002-6-2,Equipment,Herstel 1 x stel 9 mm ponse,,225,0,0,4935025
P180136,2020/04/23,C00002-18-2,Equipment,Vervaardig 1 x Asbes-vertoonkassie met LED liggies en batteryhouer,,4750,605,0,4901873
P180137,2020/04/23,C00003-3-4,Equipment,Vervaardig 1 x 90 x 200 Dewar,,2550,72,18,4903267
P180138,2020/04/25,C00002-20-1,Repairs,Verander 1 x oorspuit + herstel van 1 x oorspuit - Simlab,,200,32,0,4934764
P180139,2020/04/25,C00012-1-1,Repairs,Herstel van boulmasjien,,225,0,0,4939335
P180140,2020/05/02,C00001-2-2,Equipment,Vervaardig 3 x koperkassies + perspex mounting plate + sny gat vir dozi-meter,,2875,204,51,4976228/4976261
P180141,2020/05/02,C00001-11-14,Repairs,Herstel van waterverkoeler,,2750,360,90,5124967
P180142,2020/05/03,C00001-5-12,Equipment,Manufacture glass impingers as per sample.  Specific details : Glass units to be interconnected with a silicon tube : With an Addis Type Coolbox,Cancelled,,,,
P180143,2020/05/03,C00001-11-11,Equipment,Vervaardig 1 x filterbuis-apparaat (Por 4),,750,96.8,24.2,5052952
P180144,2020/05/03,C00001-5-6,Microscopes and Balances,Diens van 2 x balanse,,1200,0,0,4967336
P180145,2020/05/04,C00012-1-2,Equipment,Vervaardig 12 x M/S penne vir Banners,,300,32,8,4936240
P180146,2020/05/07,C00003-2-1,Glass blowing,Herstel van condensor,,225,48,12,5030164
P180147,2020/05/07,C00002-17-2,Engraving,Gravering van 13 x Lampe,,1600,90,0,4947373
P180148,2020/05/07,C00003-2-3,Glass blowing,Aanbring van flange op 5 liter fles,,450,0,0,5030164
P180149,2020/05/07,C00001-11-7,Equipment,Aankoop van 2 x battery / voorsien 1 x battery (by PSS Distributors),,0,443.2,110.8,4937323
P180150,2020/05/07,C00003-3-6,Repairs,Herstel van gasbottel se regulator,,225,0,0,4964608
P180151,2020/05/07,C00009-1-2,Engraving,Gravering : 1 x Naam,,170,0,0,495268
P180152,2020/05/07,C00001-5-2,Equipment,Vervaardig 1 x Perspex cover,,300,16,4,4953166
P180153,2020/05/08,C00001-5-13,Equipment,Vervaardig 4 x vistenkies + 1 x meetbordpyp (WRG),,3600,540,135,4981448
P180154,2020/05/08,C00002-5-5,Repairs,Herstel van UV-lig,,,,,
P180155,2020/05/09,C00009-3-1,Engraving,Gravering : 2 x Plaatjies vir trofee,,190,0,0,4938711
P180156,2020/05/09,C00001-9-1,Repairs,Diens van auto sampler + diens van lugpyp,,2250,40,10,5132076
P180157,2020/05/09,C00002-7-1,Microscopes and Balances,Kalibreer van 4 x skale,,2444,156,0,5245241
P180158,2020/05/09,C00002-4-4,Repairs,Herstel van waterbad,,450,0,0,4930387
P180159,2020/05/10,C00002-28-1,Repairs,Herstel van yskas,,300,0,0,4936036
P180160,2020/05/11,C00014-1-1,Engraving,Graveer 1 x plaatjie : Vir geskenk,,120,0,0,4945084
P180161,2020/05/11,C00001-5-14,Equipment,Manufacture : 1 x Sample Diluter (as per drawing),,14060,2428,1214,4937612
P180162,2020/01/24,C00001-9-2,Repairs,Herstel van perspex-buise (loogbuise),,1980,176,44,4950333
P180163,2020/03/23,C00003-4-3,Equipment,Sonkar,,400,464,116,5093518
P180164,2020/04/12,C00009-2-1,Engraving,Gravering : 1 x Naam vir ererolbord,,170,0,0,4958569
P180165,2020/05/17,C00003-2-4,Glass blowing,Vervaardig 3 x Rondebol Flesse/1 x 2-Nek Rondebolfles (250 ml)/1 x H-Buis (soos bespreek),,1750,1224,306,5212386
P180166,2020/05/17,C00001-5-15,Equipment,Welgegund : Container : Install 2 x cable entry boxes,,3900,688,172,4976320
P180167,2020/05/21,C00015-2-1,Equipment,Vervaardig 1 x kluishandvatsel,,1300,36,9,4957513
P180168,2020/05/14,C00002-13-6,Equipment,Manufacture 2 x Aluminium Poster Frames for an A0 Size Poster,,122,886.4,221.6,4941266
P180169,2020/05/21,C00001-11-15,Microscopes and Balances,Herstel van 17 x Balanse,,10200,108,27,5061309
P180170,2020/05/22,C00001-11-16,Repairs,Repair of 1 x Probe,,225,0,0,5002741
P180171,2020/05/17,C00002-4-1,Repairs,Veranderinge aan 1 x Medium en 1 x Klein Perpex Visbakke,,3450,0,0,5048302
P180172,2020/05/22,C00001-5-4,Equipment,Vervaardig 1 x inlet buis / Boor gaatjie vir fitting ,,450,8,2,4977132
P180173,2020/05/23,C00002-18-3,Equipment,Vervaardig 6 x 24-Vakkie Vrieskasrakkies,,12430,1576,394,4961468
P180174,2020/05/25,C00001-11-15,Repairs,Herstel van 1 x mantelverhitter,,600,4,1,
P180175,2020/05/21,C00002-15-3,Repairs,Herstel van stikstofgenereerder,,1225,4668,0,4980654
P180176,2020/05/29,C00001-5-4,Equipment,Sny van 1 x 4.5 mm Aluminiumplaat / 6 x Saddles vir 76 mm Vlekvryestaal pyp (15 mm hoog(,,7350,921.6,230.4,5058287
P180177,2020/05/31,C00001-2-2,Equipment,Sny van gate in kassie,,300,0,0,5003076
P180178,2020/06/01,C00001-5-16,Equipment,Vervaardig 2 x PVC-pype + 2 x inlate vir elke pyp,,1200,16,4,5024746
P180179,2020/06/04,C00016-1-1,Engraving,Gravering 1 x Goue plaatjie,,100,0,0,4996438
P180180,2020/06/04,C00005-1-2,Equipment,Vervaardig 1 x bracket vir kamera-lens,,1050,12,3,4989308
P180181,2020/06/05,C00003-2-1,Glass blowing,Vervaardig 1 x fles met flange,,750,956,239,5212386
P180182,2020/06/05,C00001-2-2,Equipment,Vervaardig 5 x Volledige Neutron Monitor-kassies (koperkassies ens.),,15137.5,776,194,5068051
P180183,2020/06/05,C00001-11-7,Equipment,Vacuum pump anti-vibration mountings,,2450,1924,481,5153556
P180184,2020/06/06,C00002-4-1,Equipment,Vervaardig 2 x Vistenkies,,1500,0,0,5048302
P180185,2020/06/06,C00002-3-2,Microscopes and Balances,Diens / herstel van 14 x balanse,Moved to Next Year,,,,
P180186,2020/06/07,C00015-1-1,Repairs,Afwerk van kraansleutel,,225,0,0,5008979
P180187,2020/06/11,C00001-5-4,Equipment,Vervaardig 4 x Steenkool-oonde (soos per tekeninge van C. Pemberton-Pigot,,14226,12840,1284,5002710
P180188,2020/06/11,C00002-21-3,Equipment,Olie-ruil van vakuumpomp + vervang vriesdroeer vakuumpyp + herstel dreinklep,,1125,136,34,5106920
P180189,2020/06/13,C00015-2-1,Equipment,"Vervaardig 1 x Vlekvryestaal ""drip tray"" vir ysmasjien",,600,212,53,5060302
P180190,2020/06/13,C00003-3-4,Glass blowing,Vervaardig 2 x buise met slypstukke,,450,272,68,5057309
P180191,2020/06/20,C00015-1-1,Repairs,Herstel van as,,300,10,2.5,5060263
P180192,2020/06/20,C00002-4-4,Microscopes and Balances,Vervang glasdeurtjie van balans,,150,50.4,12.6,5062143
P180193,2020/06/20,C00002-15-1,Repairs,Herstel van stikstofgenereerder,,1350,5046.4,1261.6,5094736
P180194,2020/06/21,C00001-9-1,Repairs,Herstel van vakuumpomp,,3750,3160,790,5312352
P180195,2020/06/22,C00001-5-17,Engraving,Gravering van 2 x medaljes,,160,0,0,5122074
P180196,2020/06/22,C00015-1-2,Equipment,Vervaardig Rigid threading masjien-as,,1950,200,50,5060302
P180197,2020/06/22,C00004-2-1,Equipment,Vervaardig 10 x Vlekvryestaal Stoom-oond Bakke + Vervaardig 6 x Wing Nut Studs,,1817.5,6715.2,1678.8,5153807/5153891
P180198,2020/07/02,C00001-5-10,Microscopes and Balances,Diens/herstel van 6 x mikroskope,,2700,0,0,5094938
P180199,2020/07/02,C00002-12-1,Repairs,Repair : Water bath,,1950,241.6,60.4,5045118
P180200,2020/07/02,C00003-6-3,Repairs,Aanbring van veranderinge aan termostaat,,150,0,0,5070506
